barcode,tls,tgfb,emt,hypoxia,mhc,icp,ifng,toxic,Glycolysis,Inflammatory_Response,IL6_JAK_STAT3,P53_Pathway,DNA_Damage_Response,Complement,Coagulation,Oxidative_Phosphorylation,Reactive_Oxygen_Species,Wound_Healing,Fibrosis,MYC_Targets,E2F_Targets,G2M_Checkpoint,Mitotic_Spindle,Unfolded_Protein_Response,mTOR_Signaling,Interferon_Alpha,Angiogenesis,Apoptosis,TNF_Signaling,ECM_Organization
patch_x2016_y10752,0.20300443025251508,-1.6080917710970952,-1.310558720583601,1.2674838825064132,0.4386756256835431,-0.32173321652511094,-1.0840060611007774,-0.1736218841388233,-0.06852707830279528,-0.2442979873122267,0.416874527747944,-0.8233856268399102,0.07606369138692004,-0.12162125751086217,0.09630418310800633,-0.04003640775651531,-0.3304065642889539,-0.6659794508609034,-1.0736149727728574,0.07283598638899393,-0.13767950733442577,-0.6285927268286902,-0.45849269841207346,-0.824608181745937,-0.42258764127140314,0.2897157904969449,0.20444669534182786,-0.7793779726771021,-0.022858537739276198,-0.8356389465837469
patch_x2016_y11088,0.23710387310024936,-0.8938016146416062,-1.2807864774411777,-0.0703128214570659,0.4612540280511779,-0.29242983441539866,0.6098603621395465,-0.14601173809080312,1.1091758116286725,-0.30142022391821754,-0.9574844743911369,-1.7212280083369682,-0.7318250402379824,-1.001947684391411,-0.7899259808156416,-0.05192792655739985,-1.101263271322202,-1.1362694125109483,-1.0352731776251913,-0.3497713865246687,-0.7675386639253123,-0.46509248626495087,-0.4170836634723116,0.5475115294415319,-0.23229255323963097,1.1985018861273564,-0.6269967010852335,-1.1089751843683813,-0.29925724076916455,-1.3236527059886944
patch_x2016_y14112,0.7148167573840112,-0.9121684674592513,-0.8652188225080388,-1.218354033300159,-2.179958265240249,0.03470048705474407,-0.8832826089284058,0.2267687826837103,-1.427465788591768,-0.6328924650580059,-1.7395509763254269,-1.2719961560743014,-0.44719846277502456,-0.6753926730088101,0.01006866116963462,-1.0991271408732797,-0.210231784541755,-0.38762771056667733,-0.5184541819781673,-1.049758727021515,-0.27820585334390946,-0.577378628516961,-0.5419351053544098,-1.3342074893218538,-1.1969006900554973,-1.088382286302752,-0.028511247120917835,-0.9918390303252307,-0.9902501977937538,-0.6251518207863292
patch_x2016_y14448,0.4441591107054495,0.17327722239126003,-0.22224347464239397,-0.024824762091148245,0.21980335783402719,-0.1515775181780055,-0.28284674331422016,0.013116769258503537,0.5464487460592309,0.2531501893490888,-0.33287623513908177,-0.2507960211289475,-0.8084524967576044,-0.21200496863087545,-0.4442327470737132,-0.7539448050653601,-0.8177742018764359,0.2800216778859856,-0.04512875530204777,-0.4247055957410982,0.46497700412622706,0.5036436061371276,-0.4915080477303287,-1.5905180725988979,-0.14920640663849272,-0.5738248744832044,0.2328665755782821,-1.2968353184548425,-0.8153496551954528,-0.376985639865536
patch_x2016_y14784,0.43934884447301187,-0.5540422379363535,-0.29540908595092225,-0.3093940547181265,0.48245007925344685,-0.15844039205499982,-0.17305749158097425,0.009110249642703301,-1.5608773091769765,0.33989838194109845,0.15117521141854065,0.20516983094555058,-0.6309189073873539,0.24896725885982046,-0.45902265778433954,-0.6664596151030822,-1.0339163177843815,-0.6423098643974293,-0.9850716956292604,-0.6721927645549604,-0.6063347933132073,-0.40898165516944784,-0.7979241080806834,-0.880389429680285,-0.6227446127050029,-1.1060967423011447,0.9863674366259693,-1.0885687408091491,-0.34651655447778235,-0.3442773954854946
patch_x2016_y15120,0.7549023093210017,-0.8630202330185188,-0.8316375978669773,-1.1922099404129176,-2.1394092977228647,0.06563788675421754,-0.8669999039456014,0.25734026931732124,-1.3865904505412772,-0.8041520164798609,-1.707255146484476,-1.234265266008526,-0.39865691985900426,-0.3224202046705427,0.07319088386290289,-1.245062566491622,-0.27497560436523616,-0.6869416158515366,-0.501934539568873,-1.51788957574441,-0.6992829681861665,-0.5481378555455632,-0.5062989463122729,-1.298662671821414,-0.8124687234427977,-1.0453831229789268,-0.47489482307047165,-0.9487677379762091,-1.2375720942623267,-0.7791044023055681
patch_x2352_y10416,-0.47545689813169767,-0.8622657364095054,-0.9421072417983913,0.5749044769658719,0.4538814885025622,-0.8075811132140324,-1.3572194205097643,-0.7023082769195002,-0.045416276472331256,-0.4005703088466926,-0.17402780082690464,-0.586748516781855,0.29019956308044376,-0.6233116635218546,0.062058457522585535,1.698800497032756,0.9347264284879094,-0.2721569018165494,-0.5663247986120349,0.669936565301529,-0.020722095979282002,0.11991098080108535,-0.8133901918135862,0.3624190850786565,-0.18831819996248278,-0.10787576973494395,0.0705651521701942,-0.26842363123700796,-0.302917203574746,0.12938738317050455
patch_x2352_y10752,-0.5843827045951473,-1.0330974574103413,-0.20878799106171336,1.1684392002154256,0.4783030257573513,-0.8845978089447657,0.76841190375877,-0.7837451430232776,1.22178101342756,-0.7771976734780462,0.829458596414966,0.07415072086951977,0.5211628036361562,-0.6477397376410872,-1.8488912345639383,1.183848970675412,1.01318637932858,-0.5105203677617689,-0.2121161002598881,1.0366341801169807,0.6353263599247478,0.17053477437812914,0.6624362108257543,-0.5125917933231414,0.7562841194640757,0.3754732861811791,0.5828244946629505,1.784752832250326,0.007534765802811379,0.3166178345597626
patch_x2352_y11088,1.1156385076884172,-0.4764381803572547,-1.367043363260363,0.0019873302081371406,0.4566461908332929,0.6069625949890998,1.1052030720251056,-0.3665708987624482,0.7882811309874035,-0.4912137308811086,-0.19013428696338902,0.6587959905228313,-0.5234285561066769,0.33893513707541045,-1.5412306233450057,1.453361557311848,0.2263877427781046,-1.8223953940933333,-1.2978754439326887,0.5310381725458456,0.5061369169225728,0.08042428074613414,0.31038042623728024,-0.41729025240457485,-0.3850142854959594,0.3987968548718978,-1.0998637796118096,0.4666691273923616,0.7182762212330229,-0.35220129561582825
patch_x2352_y12096,-0.03601235409711438,-1.9381991740772677,-1.5205191089065344,-0.48810581014981885,0.30228364403416014,-0.47968825020200273,-0.3156364520458839,1.185004454660871,-0.35009389830330795,0.31774674836988626,-0.2941024537027018,-0.38493478245291274,-0.9710151775623908,-0.873171953839503,-0.6228053702856879,0.5953344284411382,-0.7416233412667619,-1.5975203483515574,-1.3576803577214283,0.10381754463793998,-0.7347007305109713,-1.1606919934429556,-1.2287481530944724,-0.3280942524681448,0.8152613515186772,0.47875665461971467,0.4388269555105581,-0.6927659645204964,-0.16094430475546295,-1.0941578084895591
