val_patch,neighbor_patch,dx,dy,iou,neighbor_final_split
patch_x10080_y4536,patch_x10080_y4368,0,168,0.3333,embargo
patch_x10080_y4536,patch_x10248_y4368,168,168,0.1429,embargo
patch_x10080_y4536,patch_x9912_y4368,168,168,0.1429,embargo
patch_x10080_y4536,patch_x9912_y4536,168,0,0.3333,embargo
patch_x10080_y4704,patch_x9912_y4536,168,168,0.1429,embargo
patch_x10248_y4536,patch_x10080_y4368,168,168,0.1429,embargo
patch_x10248_y4536,patch_x10248_y4368,0,168,0.3333,embargo
patch_x10248_y4536,patch_x10416_y4368,168,168,0.1429,embargo
patch_x10416_y4536,patch_x10248_y4368,168,168,0.1429,embargo
patch_x10416_y4536,patch_x10416_y4368,0,168,0.3333,embargo
patch_x10416_y4536,patch_x10584_y4368,168,168,0.1429,embargo
patch_x10584_y4536,patch_x10416_y4368,168,168,0.1429,embargo
patch_x10584_y4536,patch_x10584_y4368,0,168,0.3333,embargo
patch_x10584_y4536,patch_x10752_y4368,168,168,0.1429,embargo
patch_x10752_y4536,patch_x10584_y4368,168,168,0.1429,embargo
patch_x10752_y4536,patch_x10752_y4368,0,168,0.3333,embargo
patch_x10752_y4536,patch_x10920_y4368,168,168,0.1429,embargo
patch_x10920_y4536,patch_x10752_y4368,168,168,0.1429,embargo
patch_x10920_y4536,patch_x10920_y4368,0,168,0.3333,embargo
patch_x10920_y4536,patch_x11088_y4368,168,168,0.1429,embargo
patch_x11088_y4536,patch_x10920_y4368,168,168,0.1429,embargo
patch_x11088_y4536,patch_x11088_y4368,0,168,0.3333,embargo
patch_x11088_y4536,patch_x11256_y4368,168,168,0.1429,embargo
patch_x11088_y4536,patch_x11256_y4536,168,0,0.3333,embargo
patch_x11088_y4536,patch_x11256_y4704,168,168,0.1429,embargo
patch_x11088_y4704,patch_x11256_y4536,168,168,0.1429,embargo
patch_x11088_y4704,patch_x11256_y4704,168,0,0.3333,embargo
patch_x11088_y4704,patch_x11256_y4872,168,168,0.1429,embargo
patch_x11088_y4872,patch_x11256_y4704,168,168,0.1429,embargo
patch_x11088_y4872,patch_x11256_y4872,168,0,0.3333,embargo
patch_x11088_y4872,patch_x11256_y5040,168,168,0.1429,embargo
patch_x11088_y5040,patch_x11256_y4872,168,168,0.1429,embargo
patch_x11088_y5040,patch_x11256_y5040,168,0,0.3333,embargo
patch_x11088_y5040,patch_x11256_y5208,168,168,0.1429,embargo
patch_x11088_y5208,patch_x11256_y5040,168,168,0.1429,embargo
patch_x11088_y5208,patch_x11256_y5208,168,0,0.3333,embargo
patch_x11088_y5208,patch_x11256_y5376,168,168,0.1429,embargo
patch_x11088_y5376,patch_x11256_y5208,168,168,0.1429,embargo
patch_x11088_y5376,patch_x11256_y5376,168,0,0.3333,embargo
patch_x11088_y5376,patch_x11256_y5544,168,168,0.1429,embargo
patch_x11088_y5544,patch_x11256_y5376,168,168,0.1429,embargo
patch_x11088_y5544,patch_x11256_y5544,168,0,0.3333,embargo
patch_x11088_y5544,patch_x11256_y5712,168,168,0.1429,embargo
patch_x11088_y5712,patch_x11256_y5544,168,168,0.1429,embargo
patch_x11088_y5712,patch_x11256_y5712,168,0,0.3333,embargo
patch_x11088_y5712,patch_x11256_y5880,168,168,0.1429,embargo
patch_x11088_y5880,patch_x11256_y5712,168,168,0.1429,embargo
patch_x11088_y5880,patch_x11256_y5880,168,0,0.3333,embargo
patch_x11088_y5880,patch_x11256_y6048,168,168,0.1429,embargo
patch_x11088_y6048,patch_x11256_y5880,168,168,0.1429,embargo
patch_x11088_y6048,patch_x11256_y6048,168,0,0.3333,embargo
patch_x11088_y6048,patch_x11256_y6216,168,168,0.1429,embargo
patch_x11088_y6216,patch_x11256_y6048,168,168,0.1429,embargo
patch_x11088_y6216,patch_x11256_y6216,168,0,0.3333,embargo
patch_x11088_y6216,patch_x11256_y6384,168,168,0.1429,embargo
patch_x11088_y6384,patch_x11256_y6216,168,168,0.1429,embargo
patch_x11088_y6384,patch_x11256_y6384,168,0,0.3333,embargo
patch_x11088_y6384,patch_x11256_y6552,168,168,0.1429,embargo
patch_x11088_y6552,patch_x11256_y6384,168,168,0.1429,embargo
patch_x11088_y6552,patch_x11256_y6552,168,0,0.3333,embargo
patch_x11088_y6552,patch_x11256_y6720,168,168,0.1429,embargo
patch_x11256_y17976,patch_x11088_y17808,168,168,0.1429,embargo
patch_x11256_y17976,patch_x11088_y17976,168,0,0.3333,embargo
patch_x11256_y17976,patch_x11088_y18144,168,168,0.1429,embargo
patch_x11256_y17976,patch_x11256_y17808,0,168,0.3333,embargo
patch_x11256_y17976,patch_x11424_y17808,168,168,0.1429,embargo
patch_x11256_y18144,patch_x11088_y17976,168,168,0.1429,embargo
patch_x11256_y18144,patch_x11088_y18144,168,0,0.3333,embargo
patch_x11256_y18144,patch_x11088_y18312,168,168,0.1429,embargo
