mpp_id,patient,patch_stem,x,y,split,block_id
3,HYZ15040,patch_x10080_y10080,10080,10080,train,HYZ15040:9:9
3,HYZ15040,patch_x10080_y10248,10080,10248,train,HYZ15040:9:9
3,HYZ15040,patch_x10080_y10416,10080,10416,train,HYZ15040:9:9
3,HYZ15040,patch_x10080_y10584,10080,10584,train,HYZ15040:9:9
3,HYZ15040,patch_x10080_y10752,10080,10752,train,HYZ15040:9:9
3,HYZ15040,patch_x10080_y10920,10080,10920,train,HYZ15040:9:9
3,HYZ15040,patch_x10080_y11088,10080,11088,train,HYZ15040:9:9
3,HYZ15040,patch_x10080_y11256,10080,11256,train,HYZ15040:9:10
3,HYZ15040,patch_x10080_y11424,10080,11424,train,HYZ15040:9:10
3,HYZ15040,patch_x10080_y11592,10080,11592,train,HYZ15040:9:10
3,HYZ15040,patch_x10080_y11760,10080,11760,train,HYZ15040:9:10
3,HYZ15040,patch_x10080_y11928,10080,11928,train,HYZ15040:9:10
3,HYZ15040,patch_x10080_y12096,10080,12096,train,HYZ15040:9:10
3,HYZ15040,patch_x10080_y12264,10080,12264,train,HYZ15040:9:10
3,HYZ15040,patch_x10080_y12432,10080,12432,train,HYZ15040:9:11
3,HYZ15040,patch_x10080_y12600,10080,12600,train,HYZ15040:9:11
3,HYZ15040,patch_x10080_y12768,10080,12768,train,HYZ15040:9:11
3,HYZ15040,patch_x10080_y12936,10080,12936,train,HYZ15040:9:11
3,HYZ15040,patch_x10080_y13104,10080,13104,train,HYZ15040:9:11
3,HYZ15040,patch_x10080_y13272,10080,13272,train,HYZ15040:9:11
3,HYZ15040,patch_x10080_y13440,10080,13440,train,HYZ15040:9:12
3,HYZ15040,patch_x10080_y13608,10080,13608,train,HYZ15040:9:12
3,HYZ15040,patch_x10080_y13776,10080,13776,train,HYZ15040:9:12
3,HYZ15040,patch_x10080_y13944,10080,13944,train,HYZ15040:9:12
3,HYZ15040,patch_x10080_y14112,10080,14112,train,HYZ15040:9:12
3,HYZ15040,patch_x10080_y14280,10080,14280,train,HYZ15040:9:12
3,HYZ15040,patch_x10080_y14448,10080,14448,embargo,HYZ15040:9:12
3,HYZ15040,patch_x10080_y14616,10080,14616,embargo,HYZ15040:9:13
3,HYZ15040,patch_x10080_y14784,10080,14784,embargo,HYZ15040:9:13
3,HYZ15040,patch_x10080_y14952,10080,14952,embargo,HYZ15040:9:13
3,HYZ15040,patch_x10080_y15120,10080,15120,embargo,HYZ15040:9:13
3,HYZ15040,patch_x10080_y15288,10080,15288,embargo,HYZ15040:9:13
3,HYZ15040,patch_x10080_y15456,10080,15456,embargo,HYZ15040:9:13
3,HYZ15040,patch_x10080_y15624,10080,15624,embargo,HYZ15040:9:13
3,HYZ15040,patch_x10080_y16296,10080,16296,train,HYZ15040:9:14
3,HYZ15040,patch_x10080_y16464,10080,16464,train,HYZ15040:9:14
