pathway,lambda,slope_k,intercept_z_b,intercept_raw_b,mean_z,std_z,fallback_reason,is_identity_fallback
tls,10.0,0.9990191690016899,0.003911842991922599,6.185665290322796,-2331.71099472936,1581.2662479284872,none,False
tgfb,10.0,1.0025543121713425,0.0026975261025595095,4.56883042519203,3915.861445467902,1693.7112937876523,none,False
emt,10.0,0.9973804456021951,-0.0010969520297038672,-2.3568699603299743,2161.161268906713,2148.562468101941,none,False
hypoxia,10.0,0.9984866585320007,-0.006029121460344332,-15.149824412150654,2760.817248006462,2512.774790124302,none,False
mhc,10.0,0.9978934522788101,-0.0021394828127243404,-4.72599642070503,7961.578236868838,2208.9433916447856,none,False
icp,10.0,0.9945780086769422,-0.0030530679298195404,-4.631096547601173,-3630.745072380955,1516.866527065746,none,False
ifng,10.0,0.9948592635618697,0.0002501407394919845,0.7261883646039227,-768.8928054239683,2903.1191243727517,none,False
toxic,10.0,1.0024980385611424,-1.918156502643573e-06,-0.0036790669862974746,-2015.0493150220482,1918.0223205077596,none,False
Glycolysis,10.0,0.9996695215326614,-0.0003819115483378807,-0.663717392622134,2719.873400944831,1737.8824900967306,none,False
Inflammatory_Response,10.0,1.0002587246447079,0.0021982617294463215,4.20188679924213,-98.42123347591743,1911.4588326570486,none,False
IL6_JAK_STAT3,10.0,0.9993012003903323,0.0017020015522382548,3.3482003815306816,2636.69249967957,1967.2134711790106,none,False
P53_Pathway,10.0,1.0009972728383174,-0.0012570062232598253,-2.1079282494830776,979.5528579965032,1676.9433678828852,none,False
DNA_Damage_Response,10.0,1.0008439632526693,0.002920879969526928,4.2951638383150295,1234.2759642986316,1470.5033699178962,none,False
Complement,10.0,0.9982113548133289,-0.003314360949755228,-5.792387348342334,-1800.5111392849126,1747.6634066576585,none,False
Coagulation,10.0,1.0003115931334277,-0.004301795481649234,-4.276930813265105,-637.6039728545255,994.2199324700123,none,False
Oxidative_Phosphorylation,10.0,0.9986208903848367,0.0009095963998638287,2.212278614875496,2815.2501069817918,2432.154101760611,none,False
Reactive_Oxygen_Species,10.0,0.9980503885129398,0.0007610018845539267,0.8626222320838397,2790.5298911875784,1133.534948588832,none,False
Wound_Healing,10.0,1.0015579333512166,0.0001556134907496642,0.31134021452867655,2149.717287808604,2000.7276556087952,none,False
Fibrosis,10.0,1.0019052738186762,-0.00017369462061120536,-0.482098771990528,2293.130700148563,2775.553844408621,none,False
MYC_Targets,10.0,1.0011560664935977,-0.0008381947617592748,-2.651807604773145,2037.3824363363694,3163.7129289704753,none,False
E2F_Targets,10.0,1.0019965963468447,-0.0005465730077035284,-1.1070558023922732,1500.8010108877088,2025.4490924161432,none,False
G2M_Checkpoint,10.0,1.0009966892272069,-0.00011823211713350048,-0.25449728145528494,503.99334918581775,2152.522407832063,none,False
Mitotic_Spindle,10.0,1.0024676466185602,0.00134700576429633,2.485794553491018,447.05930244823446,1845.422357780025,none,False
Unfolded_Protein_Response,10.0,1.0002743927166269,-0.002302645001407464,-4.427205049218839,2521.7296822390226,1922.660699548894,none,False
mTOR_Signaling,10.0,0.9999602105095036,-0.0002583898227216418,-0.46558363006686926,2044.6722793203753,1801.865201821177,none,False
Interferon_Alpha,10.0,0.9989432635868102,0.0012563667091838606,2.337995261167977,3643.0987602916084,1860.9178706165696,none,False
Angiogenesis,10.0,0.9997875345709922,-0.0007654654474210488,-1.3526443791266596,1203.4315389114338,1767.0874416133242,none,False
Apoptosis,10.0,0.9976313824797578,0.0037075589496795326,5.792200005197084,1172.7100519113592,1562.2678111962966,none,False
TNF_Signaling,10.0,0.9979891405589811,0.0010286494400253915,2.251362137034415,123.95002913186181,2188.658302267526,none,False
ECM_Organization,10.0,1.0017135420005572,-0.00017218728117016508,-0.5457128001842253,3066.686497730347,3169.297967164726,none,False
